GlobalCode;GlobalName;RegionCode;RegionName;SubRegionCode;SubRegionName;IntermediateRegionCode;IntermediateRegionName;Country;Code
1;World;2;Africa;15;Northern Africa;;;Algeria;12
1;World;2;Africa;15;Northern Africa;;;Egypt;818
1;World;2;Africa;15;Northern Africa;;;Libya;434
1;World;2;Africa;15;Northern Africa;;;Morocco;504
1;World;2;Africa;15;Northern Africa;;;Sudan;729
1;World;2;Africa;15;Northern Africa;;;Tunisia;788
1;World;2;Africa;15;Northern Africa;;;Western Sahara;732
1;World;2;Africa;202;Sub-Saharan Africa;14;Eastern Africa;British Indian Ocean Territory;86
1;World;2;Africa;202;Sub-Saharan Africa;14;Eastern Africa;Burundi;108
1;World;2;Africa;202;Sub-Saharan Africa;14;Eastern Africa;Comoros;174
1;World;2;Africa;202;Sub-Saharan Africa;14;Eastern Africa;Djibouti;262
1;World;2;Africa;202;Sub-Saharan Africa;14;Eastern Africa;Eritrea;232
1;World;2;Africa;202;Sub-Saharan Africa;14;Eastern Africa;Ethiopia;231
1;World;2;Africa;202;Sub-Saharan Africa;14;Eastern Africa;French Southern Territories;260
1;World;2;Africa;202;Sub-Saharan Africa;14;Eastern Africa;Kenya;404
1;World;2;Africa;202;Sub-Saharan Africa;14;Eastern Africa;Madagascar;450
1;World;2;Africa;202;Sub-Saharan Africa;14;Eastern Africa;Malawi;454
1;World;2;Africa;202;Sub-Saharan Africa;14;Eastern Africa;Mauritius;480
1;World;2;Africa;202;Sub-Saharan Africa;14;Eastern Africa;Mayotte;175
1;World;2;Africa;202;Sub-Saharan Africa;14;Eastern Africa;Mozambique;508
1;World;2;Africa;202;Sub-Saharan Africa;14;Eastern Africa;Réunion;638
1;World;2;Africa;202;Sub-Saharan Africa;14;Eastern Africa;Rwanda;646
1;World;2;Africa;202;Sub-Saharan Africa;14;Eastern Africa;Seychelles;690
1;World;2;Africa;202;Sub-Saharan Africa;14;Eastern Africa;Somalia;706
1;World;2;Africa;202;Sub-Saharan Africa;14;Eastern Africa;South Sudan;728
1;World;2;Africa;202;Sub-Saharan Africa;14;Eastern Africa;Uganda;800
1;World;2;Africa;202;Sub-Saharan Africa;14;Eastern Africa;United Republic of Tanzania;834
1;World;2;Africa;202;Sub-Saharan Africa;14;Eastern Africa;Zambia;894
1;World;2;Africa;202;Sub-Saharan Africa;14;Eastern Africa;Zimbabwe;716
1;World;2;Africa;202;Sub-Saharan Africa;17;Middle Africa;Angola;24
1;World;2;Africa;202;Sub-Saharan Africa;17;Middle Africa;Cameroon;120
1;World;2;Africa;202;Sub-Saharan Africa;17;Middle Africa;Central African Republic;140
1;World;2;Africa;202;Sub-Saharan Africa;17;Middle Africa;Chad;148
1;World;2;Africa;202;Sub-Saharan Africa;17;Middle Africa;Congo;178
1;World;2;Africa;202;Sub-Saharan Africa;17;Middle Africa;Democratic Republic of the Congo;180
1;World;2;Africa;202;Sub-Saharan Africa;17;Middle Africa;Equatorial Guinea;226
1;World;2;Africa;202;Sub-Saharan Africa;17;Middle Africa;Gabon;266
1;World;2;Africa;202;Sub-Saharan Africa;17;Middle Africa;Sao Tome and Principe;678
1;World;2;Africa;202;Sub-Saharan Africa;18;Southern Africa;Botswana;72
1;World;2;Africa;202;Sub-Saharan Africa;18;Southern Africa;Eswatini;748
1;World;2;Africa;202;Sub-Saharan Africa;18;Southern Africa;Lesotho;426
1;World;2;Africa;202;Sub-Saharan Africa;18;Southern Africa;Namibia;516
1;World;2;Africa;202;Sub-Saharan Africa;18;Southern Africa;South Africa;710
1;World;2;Africa;202;Sub-Saharan Africa;11;Western Africa;Benin;204
1;World;2;Africa;202;Sub-Saharan Africa;11;Western Africa;Burkina Faso;854
1;World;2;Africa;202;Sub-Saharan Africa;11;Western Africa;Cabo Verde;132
1;World;2;Africa;202;Sub-Saharan Africa;11;Western Africa;Côte d’Ivoire;384
1;World;2;Africa;202;Sub-Saharan Africa;11;Western Africa;Gambia;270
1;World;2;Africa;202;Sub-Saharan Africa;11;Western Africa;Ghana;288
1;World;2;Africa;202;Sub-Saharan Africa;11;Western Africa;Guinea;324
1;World;2;Africa;202;Sub-Saharan Africa;11;Western Africa;Guinea-Bissau;624
1;World;2;Africa;202;Sub-Saharan Africa;11;Western Africa;Liberia;430
1;World;2;Africa;202;Sub-Saharan Africa;11;Western Africa;Mali;466
1;World;2;Africa;202;Sub-Saharan Africa;11;Western Africa;Mauritania;478
1;World;2;Africa;202;Sub-Saharan Africa;11;Western Africa;Niger;562
1;World;2;Africa;202;Sub-Saharan Africa;11;Western Africa;Nigeria;566
1;World;2;Africa;202;Sub-Saharan Africa;11;Western Africa;Saint Helena;654
1;World;2;Africa;202;Sub-Saharan Africa;11;Western Africa;Senegal;686
1;World;2;Africa;202;Sub-Saharan Africa;11;Western Africa;Sierra Leone;694
1;World;2;Africa;202;Sub-Saharan Africa;11;Western Africa;Togo;768
1;World;19;Americas;419;Latin America and the Caribbean;29;Caribbean;Anguilla;660
1;World;19;Americas;419;Latin America and the Caribbean;29;Caribbean;Antigua and Barbuda;28
1;World;19;Americas;419;Latin America and the Caribbean;29;Caribbean;Aruba;533
1;World;19;Americas;419;Latin America and the Caribbean;29;Caribbean;Bahamas;44
1;World;19;Americas;419;Latin America and the Caribbean;29;Caribbean;Barbados;52
1;World;19;Americas;419;Latin America and the Caribbean;29;Caribbean;Bonaire, Sint Eustatius and Saba;535
1;World;19;Americas;419;Latin America and the Caribbean;29;Caribbean;British Virgin Islands;92
1;World;19;Americas;419;Latin America and the Caribbean;29;Caribbean;Cayman Islands;136
1;World;19;Americas;419;Latin America and the Caribbean;29;Caribbean;Cuba;192
1;World;19;Americas;419;Latin America and the Caribbean;29;Caribbean;Curaçao;531
1;World;19;Americas;419;Latin America and the Caribbean;29;Caribbean;Dominica;212
1;World;19;Americas;419;Latin America and the Caribbean;29;Caribbean;Dominican Republic;214
1;World;19;Americas;419;Latin America and the Caribbean;29;Caribbean;Grenada;308
1;World;19;Americas;419;Latin America and the Caribbean;29;Caribbean;Guadeloupe;312
1;World;19;Americas;419;Latin America and the Caribbean;29;Caribbean;Haiti;332
1;World;19;Americas;419;Latin America and the Caribbean;29;Caribbean;Jamaica;388
1;World;19;Americas;419;Latin America and the Caribbean;29;Caribbean;Martinique;474
1;World;19;Americas;419;Latin America and the Caribbean;29;Caribbean;Montserrat;500
1;World;19;Americas;419;Latin America and the Caribbean;29;Caribbean;Puerto Rico;630
1;World;19;Americas;419;Latin America and the Caribbean;29;Caribbean;Saint Barthélemy;652
1;World;19;Americas;419;Latin America and the Caribbean;29;Caribbean;Saint Kitts and Nevis;659
1;World;19;Americas;419;Latin America and the Caribbean;29;Caribbean;Saint Lucia;662
1;World;19;Americas;419;Latin America and the Caribbean;29;Caribbean;Saint Martin (French Part);663
1;World;19;Americas;419;Latin America and the Caribbean;29;Caribbean;Saint Vincent and the Grenadines;670
1;World;19;Americas;419;Latin America and the Caribbean;29;Caribbean;Sint Maarten (Dutch part);534
1;World;19;Americas;419;Latin America and the Caribbean;29;Caribbean;Trinidad and Tobago;780
1;World;19;Americas;419;Latin America and the Caribbean;29;Caribbean;Turks and Caicos Islands;796
1;World;19;Americas;419;Latin America and the Caribbean;29;Caribbean;United States Virgin Islands;850
1;World;19;Americas;419;Latin America and the Caribbean;13;Central America;Belize;84
1;World;19;Americas;419;Latin America and the Caribbean;13;Central America;Costa Rica;188
1;World;19;Americas;419;Latin America and the Caribbean;13;Central America;El Salvador;222
1;World;19;Americas;419;Latin America and the Caribbean;13;Central America;Guatemala;320
1;World;19;Americas;419;Latin America and the Caribbean;13;Central America;Honduras;340
1;World;19;Americas;419;Latin America and the Caribbean;13;Central America;Mexico;484
1;World;19;Americas;419;Latin America and the Caribbean;13;Central America;Nicaragua;558
1;World;19;Americas;419;Latin America and the Caribbean;13;Central America;Panama;591
1;World;19;Americas;419;Latin America and the Caribbean;5;South America;Argentina;32
1;World;19;Americas;419;Latin America and the Caribbean;5;South America;Bolivia (Plurinational State of);68
1;World;19;Americas;419;Latin America and the Caribbean;5;South America;Bouvet Island;74
1;World;19;Americas;419;Latin America and the Caribbean;5;South America;Brazil;76
1;World;19;Americas;419;Latin America and the Caribbean;5;South America;Chile;152
1;World;19;Americas;419;Latin America and the Caribbean;5;South America;Colombia;170
1;World;19;Americas;419;Latin America and the Caribbean;5;South America;Ecuador;218
1;World;19;Americas;419;Latin America and the Caribbean;5;South America;Falkland Islands (Malvinas);238
1;World;19;Americas;419;Latin America and the Caribbean;5;South America;French Guiana;254
1;World;19;Americas;419;Latin America and the Caribbean;5;South America;Guyana;328
1;World;19;Americas;419;Latin America and the Caribbean;5;South America;Paraguay;600
1;World;19;Americas;419;Latin America and the Caribbean;5;South America;Peru;604
1;World;19;Americas;419;Latin America and the Caribbean;5;South America;South Georgia and the South Sandwich Islands;239
1;World;19;Americas;419;Latin America and the Caribbean;5;South America;Suriname;740
1;World;19;Americas;419;Latin America and the Caribbean;5;South America;Uruguay;858
1;World;19;Americas;419;Latin America and the Caribbean;5;South America;Venezuela (Bolivarian Republic of);862
1;World;19;Americas;21;Northern America;;;Bermuda;60
1;World;19;Americas;21;Northern America;;;Canada;124
1;World;19;Americas;21;Northern America;;;Greenland;304
1;World;19;Americas;21;Northern America;;;Saint Pierre and Miquelon;666
1;World;19;Americas;21;Northern America;;;United States of America;840
1;World;;;;;;;Antarctica;10
1;World;142;Asia;143;Central Asia;;;Kazakhstan;398
1;World;142;Asia;143;Central Asia;;;Kyrgyzstan;417
1;World;142;Asia;143;Central Asia;;;Tajikistan;762
1;World;142;Asia;143;Central Asia;;;Turkmenistan;795
1;World;142;Asia;143;Central Asia;;;Uzbekistan;860
1;World;142;Asia;30;Eastern Asia;;;China;156
1;World;142;Asia;30;Eastern Asia;;;China, Hong Kong Special Administrative Region;344
